County,StateCode,Deaths,Population,Category
New Castle County, DE (10003),275,"556,987",All Causes
Sussex County, DE (10005),144,"220,251",All Causes
District of Columbia, DC (11001),401,"681,170",All Causes
Alachua County, FL (12001),121,"263,496",All Causes
Baker County, FL (12003),19,"27,937",All Causes
Bay County, FL (12005),121,"183,974",All Causes
Bradford County, FL (12007),21,"26,926",All Causes
Brevard County, FL (12009),441,"579,130",All Causes
Broward County, FL (12011),"1,080","1,909,632",All Causes
Charlotte County, FL (12015),102,"178,465",All Causes
Citrus County, FL (12017),162,"143,621",All Causes
Clay County, FL (12019),151,"208,311",All Causes
Collier County, FL (12021),218,"365,136",All Causes
Columbia County, FL (12023),38,"69,299",All Causes
DeSoto County, FL (12027),22,"35,800",All Causes
Dixie County, FL (12029),16,"16,300",All Causes
Duval County, FL (12031),758,"926,255",All Causes
Escambia County, FL (12033),150,"315,187",All Causes
Flagler County, FL (12035),55,"108,310",All Causes
Franklin County, FL (12037),10,"11,901",All Causes
Gadsden County, FL (12039),24,"46,006",All Causes
Gilchrist County, FL (12041),10,"17,212",All Causes
Hardee County, FL (12049),18,"27,360",All Causes
Hendry County, FL (12051),31,"39,290",All Causes
Hernando County, FL (12053),152,"182,835",All Causes
Highlands County, FL (12055),78,"100,917",All Causes
Hillsborough County, FL (12057),770,"1,376,238",All Causes
Holmes County, FL (12059),14,"19,487",All Causes
Indian River County, FL (12061),108,"151,563",All Causes
Jackson County, FL (12063),31,"48,229",All Causes
Jefferson County, FL (12065),12,"13,906",All Causes
Lake County, FL (12069),279,"335,396",All Causes
Lee County, FL (12071),478,"722,336",All Causes
Leon County, FL (12073),106,"287,822",All Causes
Levy County, FL (12075),35,"39,961",All Causes
Madison County, FL (12079),12,"18,224",All Causes
Manatee County, FL (12081),362,"375,888",All Causes
Marion County, FL (12083),436,"349,020",All Causes
Martin County, FL (12085),110,"158,701",All Causes
Miami-Dade County, FL (12086),971,"2,712,945",All Causes
Monroe County, FL (12087),73,"79,077",All Causes
Nassau County, FL (12089),67,"80,622",All Causes
Okaloosa County, FL (12091),105,"201,170",All Causes
Okeechobee County, FL (12093),27,"40,314",All Causes
Orange County, FL (12095),536,"1,314,367",All Causes
Osceola County, FL (12097),151,"336,015",All Causes
Palm Beach County, FL (12099),"1,001","1,443,810",All Causes
Pasco County, FL (12101),398,"512,368",All Causes
Pinellas County, FL (12103),749,"960,730",All Causes
Polk County, FL (12105),399,"666,149",All Causes
Putnam County, FL (12107),66,"72,277",All Causes
St. Johns County, FL (12109),118,"235,087",All Causes
St. Lucie County, FL (12111),197,"306,507",All Causes
Santa Rosa County, FL (12113),63,"170,497",All Causes
Sarasota County, FL (12115),287,"412,569",All Causes
Seminole County, FL (12117),188,"455,479",All Causes
Sumter County, FL (12119),105,"123,996",All Causes
Suwannee County, FL (12121),39,"43,794",All Causes
Taylor County, FL (12123),23,"22,175",All Causes
Volusia County, FL (12127),333,"529,364",All Causes
Wakulla County, FL (12129),24,"31,893",All Causes
Walton County, FL (12131),34,"65,889",All Causes
Appling County, GA (13001),10,"18,428",All Causes
Baldwin County, GA (13009),16,"45,144",All Causes
Banks County, GA (13011),12,"18,397",All Causes
Barrow County, GA (13013),33,"77,126",All Causes
Bartow County, GA (13015),67,"103,807",All Causes
Berrien County, GA (13019),11,"18,993",All Causes
Bibb County, GA (13021),90,"152,760",All Causes
Brantley County, GA (13025),21,"18,355",All Causes
Bryan County, GA (13029),17,"36,230",All Causes
Bulloch County, GA (13031),31,"74,722",All Causes
Burke County, GA (13033),21,"22,688",All Causes
Butts County, GA (13035),11,"23,817",All Causes
Camden County, GA (13039),18,"53,008",All Causes
Carroll County, GA (13045),73,"116,261",All Causes
Catoosa County, GA (13047),46,"66,398",All Causes
Chatham County, GA (13051),146,"289,082",All Causes
Chattooga County, GA (13055),25,"24,824",All Causes
Cherokee County, GA (13057),95,"241,689",All Causes
Clarke County, GA (13059),50,"124,707",All Causes
Clayton County, GA (13063),100,"279,462",All Causes
Cobb County, GA (13067),262,"748,150",All Causes
Coffee County, GA (13069),32,"43,012",All Causes
Colquitt County, GA (13071),25,"45,708",All Causes
Columbia County, GA (13073),54,"147,450",All Causes
Coweta County, GA (13077),61,"140,526",All Causes
Crawford County, GA (13079),11,"12,322",All Causes
Dawson County, GA (13085),13,"23,604",All Causes
Decatur County, GA (13087),15,"26,822",All Causes
DeKalb County, GA (13089),238,"740,321",All Causes
Dodge County, GA (13091),10,"20,563",All Causes
Dougherty County, GA (13095),38,"90,017",All Causes
Douglas County, GA (13097),74,"142,224",All Causes
Effingham County, GA (13103),33,"58,712",All Causes
Elbert County, GA (13105),14,"19,143",All Causes
Emanuel County, GA (13107),13,"22,635",All Causes
Fannin County, GA (13111),21,"24,900",All Causes
Fayette County, GA (13113),34,"111,627",All Causes
Floyd County, GA (13115),61,"96,560",All Causes
Forsyth County, GA (13117),51,"221,009",All Causes
Franklin County, GA (13119),17,"22,320",All Causes
Fulton County, GA (13121),436,"1,023,336",All Causes
Gilmer County, GA (13123),17,"29,733",All Causes
Glynn County, GA (13127),38,"84,502",All Causes
Gordon County, GA (13129),36,"56,904",All Causes
Grady County, GA (13131),13,"24,808",All Causes
Gwinnett County, GA (13135),259,"907,135",All Causes
Habersham County, GA (13137),29,"44,246",All Causes
Hall County, GA (13139),92,"196,637",All Causes
Haralson County, GA (13143),27,"29,042",All Causes
Harris County, GA (13145),15,"33,652",All Causes
Heard County, GA (13149),11,"11,487",All Causes
Henry County, GA (13151),96,"221,768",All Causes
Houston County, GA (13153),44,"152,122",All Causes
Jackson County, GA (13157),41,"64,615",All Causes
Jeff Davis County, GA (13161),16,"14,877",All Causes
Jefferson County, GA (13163),11,"15,916",All Causes
Jones County, GA (13169),16,"28,623",All Causes
Laurens County, GA (13175),22,"47,516",All Causes
Lee County, GA (13177),12,"29,337",All Causes
Liberty County, GA (13179),20,"62,570",All Causes
Lowndes County, GA (13185),59,"114,628",All Causes
Lumpkin County, GA (13187),19,"31,445",All Causes
McDuffie County, GA (13189),12,"21,490",All Causes
McIntosh County, GA (13191),11,"13,927",All Causes
Madison County, GA (13195),10,"28,824",All Causes
Meriwether County, GA (13199),13,"21,074",All Causes
Mitchell County, GA (13205),14,"22,459",All Causes
Monroe County, GA (13207),23,"27,306",All Causes
Morgan County, GA (13211),11,"18,170",All Causes
Murray County, GA (13213),29,"39,315",All Causes
Muscogee County, GA (13215),111,"197,485",All Causes
Newton County, GA (13217),55,"106,999",All Causes
Oconee County, GA (13219),13,"36,838",All Causes
Paulding County, GA (13223),76,"155,825",All Causes
Peach County, GA (13225),17,"26,655",All Causes
Pickens County, GA (13227),12,"30,832",All Causes
Pierce County, GA (13229),11,"19,171",All Causes
Polk County, GA (13233),42,"41,776",All Causes
Putnam County, GA (13237),16,"21,477",All Causes
Rabun County, GA (13241),14,"16,559",All Causes
Richmond County, GA (13245),111,"201,647",All Causes
Rockdale County, GA (13247),44,"89,355",All Causes
Spalding County, GA (13255),45,"64,806",All Causes
Stephens County, GA (13257),17,"25,751",All Causes
Sumter County, GA (13261),19,"30,389",All Causes
Tattnall County, GA (13267),19,"25,092",All Causes
Thomas County, GA (13275),17,"45,248",All Causes
Tift County, GA (13277),27,"40,828",All Causes
Toombs County, GA (13279),16,"27,196",All Causes
Towns County, GA (13281),12,"11,391",All Causes
Troup County, GA (13285),40,"70,005",All Causes
Union County, GA (13291),14,"22,928",All Causes
Walker County, GA (13295),35,"67,896",All Causes
Walton County, GA (13297),51,"90,184",All Causes
Ware County, GA (13299),24,"35,738",All Causes
Washington County, GA (13303),13,"20,457",All Causes
Wayne County, GA (13305),24,"30,104",All Causes
White County, GA (13311),17,"28,884",All Causes
Whitfield County, GA (13313),34,"104,589",All Causes
Worth County, GA (13321),13,"20,748",All Causes
Hawaii County, HI (15001),72,"198,449",All Causes
Honolulu County, HI (15003),410,"992,605",All Causes
Kauai County, HI (15007),31,"72,029",All Causes
Maui County, HI (15009),64,"165,386",All Causes
Ada County, ID (16001),180,"444,028",All Causes
Bannock County, ID (16005),46,"84,377",All Causes
Bingham County, ID (16011),34,"45,201",All Causes
Blaine County, ID (16013),11,"21,791",All Causes
Bonner County, ID (16017),26,"42,536",All Causes
Bonneville County, ID (16019),65,"112,232",All Causes
Canyon County, ID (16027),77,"211,698",All Causes
Cassia County, ID (16031),19,"23,504",All Causes
Elmore County, ID (16039),11,"26,018",All Causes
Gem County, ID (16045),14,"17,184",All Causes
Gooding County, ID (16047),12,"15,185",All Causes
Idaho County, ID (16049),16,"16,156",All Causes
Jefferson County, ID (16051),13,"27,839",All Causes
Jerome County, ID (16053),19,"22,994",All Causes
Kootenai County, ID (16055),73,"154,311",All Causes
Latah County, ID (16057),14,"39,196",All Causes
Minidoka County, ID (16067),15,"20,616",All Causes
Nez Perce County, ID (16069),27,"40,369",All Causes
Payette County, ID (16075),15,"23,026",All Causes
Shoshone County, ID (16079),10,"12,452",All Causes
Twin Falls County, ID (16083),61,"83,514",All Causes
Adams County, IL (17001),38,"66,578",All Causes
Boone County, IL (17007),23,"53,503",All Causes
Bureau County, IL (17011),25,"33,359",All Causes
Champaign County, IL (17019),82,"208,419",All Causes
Christian County, IL (17021),25,"33,309",All Causes
Clark County, IL (17023),10,"15,938",All Causes
Clinton County, IL (17027),18,"37,729",All Causes
Coles County, IL (17029),21,"52,343",All Causes
Cook County, IL (17031),"2,053","5,203,499",All Causes
Crawford County, IL (17033),17,"19,308",All Causes
DeKalb County, IL (17037),40,"104,528",All Causes
Douglas County, IL (17041),11,"19,630",All Causes
DuPage County, IL (17043),260,"929,368",All Causes
Edgar County, IL (17045),12,"17,566",All Causes
Effingham County, IL (17049),16,"34,386",All Causes
Fayette County, IL (17051),14,"21,789",All Causes
Franklin County, IL (17055),37,"39,156",All Causes
Fulton County, IL (17057),17,"35,536",All Causes
Greene County, IL (17061),10,"13,093",All Causes
Grundy County, IL (17063),21,"50,437",All Causes
Hancock County, IL (17067),12,"18,508",All Causes
Henry County, IL (17073),23,"49,280",All Causes
Iroquois County, IL (17075),26,"28,334",All Causes
Jackson County, IL (17077),31,"58,870",All Causes
Jasper County, IL (17079),12,"9,536",All Causes
Jefferson County, IL (17081),26,"38,460",All Causes
Jersey County, IL (17083),13,"22,025",All Causes
Jo Daviess County, IL (17085),21,"21,770",All Causes
Kane County, IL (17089),170,"531,715",All Causes
Kankakee County, IL (17091),57,"110,008",All Causes
Kendall County, IL (17093),51,"124,695",All Causes
Knox County, IL (17095),27,"50,938",All Causes
Lake County, IL (17097),223,"703,047",All Causes
LaSalle County, IL (17099),59,"110,642",All Causes
Lee County, IL (17103),18,"34,251",All Causes
Livingston County, IL (17105),22,"36,526",All Causes
Logan County, IL (17107),16,"29,527",All Causes
McDonough County, IL (17109),13,"30,996",All Causes
McHenry County, IL (17111),131,"307,004",All Causes
McLean County, IL (17113),59,"172,418",All Causes
Macon County, IL (17115),65,"106,550",All Causes
Macoupin County, IL (17117),43,"45,908",All Causes
Madison County, IL (17119),159,"265,759",All Causes
Marion County, IL (17121),34,"38,140",All Causes
Massac County, IL (17127),13,"14,658",All Causes
Menard County, IL (17129),14,"12,516",All Causes
Monroe County, IL (17133),17,"34,068",All Causes
Montgomery County, IL (17135),20,"28,952",All Causes
Morgan County, IL (17137),18,"34,277",All Causes
Ogle County, IL (17141),26,"51,273",All Causes
Peoria County, IL (17143),90,"185,006",All Causes
Perry County, IL (17145),16,"21,357",All Causes
Piatt County, IL (17147),10,"16,560",All Causes
Pike County, IL (17149),11,"15,950",All Causes
Randolph County, IL (17157),24,"32,621",All Causes
Richland County, IL (17159),12,"15,930",All Causes
Rock Island County, IL (17161),57,"144,784",All Causes
St. Clair County, IL (17163),129,"262,759",All Causes
Saline County, IL (17165),17,"24,307",All Causes
Sangamon County, IL (17167),96,"197,499",All Causes
Stephenson County, IL (17177),33,"45,624",All Causes
Tazewell County, IL (17179),59,"134,385",All Causes
Union County, IL (17181),11,"17,212",All Causes
Vermilion County, IL (17183),45,"78,111",All Causes
Washington County, IL (17189),14,"14,154",All Causes
Wayne County, IL (17191),13,"16,396",All Causes
Whiteside County, IL (17195),28,"56,536",All Causes
Will County, IL (17197),260,"689,529",All Causes
Williamson County, IL (17199),38,"67,560",All Causes
Winnebago County, IL (17201),209,"285,873",All Causes
Adams County, IN (18001),13,"35,232",All Causes
Allen County, IN (18003),186,"370,404",All Causes
Bartholomew County, IN (18005),36,"81,402",All Causes
Blackford County, IN (18009),15,"12,149",All Causes
Boone County, IN (18011),29,"64,653",All Causes
Cass County, IN (18017),17,"37,946",All Causes
Clark County, IN (18019),81,"116,031",All Causes
Clay County, IN (18021),16,"26,309",All Causes
Clinton County, IN (18023),19,"32,457",All Causes
Daviess County, IN (18027),19,"32,969",All Causes
Dearborn County, IN (18029),28,"49,331",All Causes
Decatur County, IN (18031),20,"26,598",All Causes
De Kalb County, IN (18033),17,"42,746",All Causes
Delaware County, IN (18035),69,"115,603",All Causes
Dubois County, IN (18037),21,"42,552",All Causes
Elkhart County, IN (18039),75,"203,781",All Causes
Fayette County, IN (18041),28,"23,331",All Causes
Floyd County, IN (18043),35,"76,990",All Causes
Franklin County, IN (18047),13,"22,715",All Causes
Fulton County, IN (18049),17,"20,139",All Causes
Gibson County, IN (18051),16,"33,703",All Causes
Grant County, IN (18053),51,"66,937",All Causes
Greene County, IN (18055),14,"32,211",All Causes
Hamilton County, IN (18057),91,"316,373",All Causes
Hancock County, IN (18059),34,"73,717",All Causes
Harrison County, IN (18061),35,"39,826",All Causes
Hendricks County, IN (18063),43,"160,610",All Causes
Henry County, IN (18065),28,"48,521",All Causes
Howard County, IN (18067),37,"82,568",All Causes
Huntington County, IN (18069),31,"36,400",All Causes
Jackson County, IN (18071),26,"44,013",All Causes
Jasper County, IN (18073),17,"33,433",All Causes
Jay County, IN (18075),10,"21,046",All Causes
Jefferson County, IN (18077),15,"32,418",All Causes
Jennings County, IN (18079),19,"27,758",All Causes
Johnson County, IN (18081),42,"151,982",All Causes
Knox County, IN (18083),26,"37,744",All Causes
Kosciusko County, IN (18085),33,"79,092",All Causes
Lake County, IN (18089),249,"485,846",All Causes
La Porte County, IN (18091),61,"110,015",All Causes
Lawrence County, IN (18093),15,"45,518",All Causes
Madison County, IN (18095),98,"129,296",All Causes
Marion County, IN (18097),596,"941,229",All Causes
Marshall County, IN (18099),21,"46,556",All Causes
Miami County, IN (18103),17,"35,883",All Causes
Monroe County, IN (18105),52,"145,496",All Causes
Montgomery County, IN (18107),19,"38,074",All Causes
Morgan County, IN (18109),42,"69,698",All Causes
Newton County, IN (18111),16,"13,924",All Causes
Noble County, IN (18113),27,"47,638",All Causes
Orange County, IN (18117),12,"19,335",All Causes
Owen County, IN (18119),12,"20,840",All Causes
Perry County, IN (18123),12,"18,966",All Causes
Porter County, IN (18127),101,"167,791",All Causes
Posey County, IN (18129),12,"25,476",All Causes
Pulaski County, IN (18131),10,"12,660",All Causes
Putnam County, IN (18133),15,"37,436",All Causes
Randolph County, IN (18135),24,"25,082",All Causes
Ripley County, IN (18137),20,"28,846",All Causes
Rush County, IN (18139),15,"16,649",All Causes
St. Joseph County, IN (18141),133,"269,141",All Causes
Scott County, IN (18143),33,"23,730",All Causes
Shelby County, IN (18145),27,"44,324",All Causes
Starke County, IN (18149),14,"23,009",All Causes
Steuben County, IN (18151),17,"34,116",All Causes
Sullivan County, IN (18153),11,"20,802",All Causes
Switzerland County, IN (18155),11,"10,527",All Causes
Tippecanoe County, IN (18157),68,"188,059",All Causes
Vanderburgh County, IN (18163),114,"181,721",All Causes
Vermillion County, IN (18165),10,"15,645",All Causes
Vigo County, IN (18167),48,"107,931",All Causes
Wabash County, IN (18169),27,"31,762",All Causes
Warrick County, IN (18173),23,"62,498",All Causes
Washington County, IN (18175),12,"27,670",All Causes
Wayne County, IN (18177),59,"66,568",All Causes
Wells County, IN (18179),12,"27,949",All Causes
White County, IN (18181),11,"23,999",All Causes
Whitley County, IN (18183),19,"33,449",All Causes
Audubon County, IA (19009),10,"5,678",All Causes
Benton County, IA (19011),26,"25,699",All Causes
Black Hawk County, IA (19013),70,"132,904",All Causes
Boone County, IA (19015),21,"26,532",All Causes
Bremer County, IA (19017),10,"24,798",All Causes
Buchanan County, IA (19019),10,"20,992",All Causes
Buena Vista County, IA (19021),10,"20,332",All Causes
Butler County, IA (19023),11,"14,791",All Causes
Carroll County, IA (19027),10,"20,437",All Causes
Cerro Gordo County, IA (19033),35,"43,070",All Causes
Clayton County, IA (19043),11,"17,590",All Causes
Clinton County, IA (19045),29,"47,309",All Causes
Crawford County, IA (19047),12,"16,940",All Causes
Dallas County, IA (19049),23,"84,516",All Causes
Delaware County, IA (19055),11,"17,327",All Causes
Des Moines County, IA (19057),28,"39,739",All Causes
Dubuque County, IA (19061),47,"97,003",All Causes
